location,company,job_title,salary
"Los Angeles, CA",Conversion Logic,Senior Frontend Angular/PWA/ASP.NET developer,122500.0
"Pasadena, CA",Gilead Sciences,AWS/DevOps Engineer,85000.0
"Pasadena, CA",Bodycote,AWS/DevOps Engineer,85000.0
"Pasadena, CA",Twine,AWS/DevOps Engineer,85000.0
"New York, NY",IBM,"Assistant Data Analyst (Data Analytics, Research and Innovat...",41092.0
"Manhattan, NY",Guidepoint Global,Analyst | Data Analysis,50890.0
"New York, NY",Weill Cornell Medicine,"Assistant Data Analyst (Data Analytics, Research and Innovat...",41092.0
"Manhattan, NY",NYU Langone,Bike Share Data Analyst,65570.0
"Manhattan, NY",Spotify,Policy Data Analyst,78803.0
"New York, NY",The New York Times,Researcher,62272.0
"Queens, NY",General Electric,"Data Manager, Viral Hepatitis, Bureau of Communicable Diseas...",62693.0
"Manhattan, NY",Goldman Sachs,"Research Scientist, Bureau of Environmental Disease and Inju...",80300.0
"LaFayette, NY",Facebook,Research Scientist - Biochemistry,48750.0
"Manhattan, NY",Goldman Sachs,DATA RESEARCH SPECIALIST,82653.0
"Manhattan, NY",Showtime,Bike Share Data Analyst,65570.0
"New York, NY",Weber Shandwick,Sr. Data Scientist,140000.0
"New York, NY",Corning,"Assistant Data Analyst (Data Analytics, Research and Innovat...",41092.0
"Manhattan, NY",Seaport Global Holdings LLC,Senior Advisor for Intergovernmental Affairs,82321.5
"Manhattan, NY",Finra,DATA RESEARCH SPECIALIST,82653.0
"New York, NY 10019 (Midtown area)",AMC Networks Inc.,Andrew W. Mellon Fellowship in Photography Conservation,49000.0
"Manhattan, NY",NYU Langone,POLICY and OPERSTIONS RESEARCH | ANALYST,61797.5
"Manhattan, NY",Weill Cornell Medicine,POLICY and OPERSTIONS RESEARCH | ANALYST,61797.5
"Queens, NY",Viacom,Cardiovascular Research Analyst,91931.0
"Manhattan, NY",Corning,Senior Data Analyst,73873.5
"Brooklyn, NY 11206 (Williamsburg area)",NYU Langone,Machine Learning for Good Postdoctoral Associate,72000.0
"Queens, NY",Rensselaer Polytechnic Institute,Cardiovascular Research Analyst,91931.0
"LaFayette, NY",Rensselaer Polytechnic Institute,Research Scientist - Biochemistry,48750.0
"Queens, NY",Ipsos North America,Data Integrity Analyst/ Bureau of Mental Health,68810.5
"Queens, NY",Ipsos North America,GIS Analyst,62693.0
"Bronx, NY 10455 (South Bronx area)",Corning,Program Analytics / Data Analysis Manager,57500.0
"New York, NY 10010 (Gramercy area)",S&P Global Ratings,"Software Engineer, Data Science",157500.0
"New York, NY 10017 (Midtown area)",Syracuse University,Medical Lab Assistant - PT Weekend Nights,35000.0
"Bronx, NY 10455 (South Bronx area)",Bridgewater Associates,Program Analytics / Data Analysis Manager,57500.0
"Queens, NY",Via,"Research Analyst, Bureau of Epidemiology Services",82653.0
"Queens, NY",Memorial Sloan Kettering,Population Health Scientist,85215.0
"Queens, NY",Interactive One,"Data Communications Outreach Analyst, Bureau of Epidemiology...",91931.0
"New York, NY",Cold Spring Harbor Laboratory,Technical Research Analyst,48000.0
"Queens, NY",Morgan Stanley,"Data Analyst, Bureau of Primary Care Access and Planning",82174.5
"Manhattan, NY",Liquidnet,Supervising Analyst,94889.0
"New York, NY",Grant Thornton,Financial Analyst,72500.0
"New York, NY",Spotify,Data Scientist and Quantitative Dev Lead,177000.0
"Manhattan, NY",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Director, Community Based Strategies",88087.5
"Manhattan, NY",Corning,"Senior Data Abstractor, Bureau of Environmental Disease and...",80300.0
"Fort Drum, NY",Microsoft,PHYSICAL SCIENTIST (Direct Hire),84381.5
"Albany, NY",Munich Re America,Research Scientist II,69258.0
"Queens, NY",UNICEF,"Field Research Associate, Bureau of Alcohol and Drug Use Pre...",62693.0
"Manhattan, NY",7Park Data,Child Welfare Analyst,77035.0
"New York, NY",Corning,data science instructor,115000.0
"Manhattan, NY",Brookhaven National Laboratory,"Environmental Epidemiologist, Bureau of Environmental Survei...",92304.0
"Manhattan, NY",JP Morgan Chase,Child Welfare Analyst,77035.0
"Queens, NY",Bridgewater Associates,"Special Assistant, Office of the Commissioner",78803.0
"Manhattan, NY",Palantir Technologies,Senior Analyst,77035.0
"Queens, NY",Axoni,"Surveillance Analyst, Bureau of Communicable Diseases",65385.5
"Queens, NY","Two Sigma Investments, LLC.",Data Integrity Analyst/ Bureau of Mental Health,68810.5
"New York, NY",Corning,Project Director,78803.0
"New York, NY","Two Sigma Investments, LLC.",Research Associate,87000.0
"Manhattan, NY",Viacom,Senior Advisor for Intergovernmental Affairs,82321.5
"Manhattan, NY",Honeywell,Energy Policy Advisor,68636.0
"Queens, NY",Corning,"Child Health Survey Manager, Bureau of Epidemiology Services",91931.0
"Manhattan, NY",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Policy Advisor, Building Energy Efficiency Programs",64854.0
"Queens, NY",MUFG,"Director of Data Analysis, Bureau of Early Intervention",92304.0
"Manhattan, NY",Albert Einstein College of Medicine,"Policy Advisor, Building & Energy Efficiency",64854.0
"Queens, NY",Aetna,Energy Program Analyst,65977.0
"Queens, NY",Mindshare,Director of Data Analytics,110966.0
"Queens, NY",JP Morgan Chase,"Data and Technology Analyst, Bureau of Emergency Field Opera...",79152.5
"Queens, NY",New York Life Insurance Co,"Director of Data Analysis, Bureau of Early Intervention",92304.0
"Rome, NY",Credit Suisse,Senior Scientist of Processing and Exploitation,154574.0
"Manhattan, NY",Butterfly Network,"Environmental Epidemiologist, Bureau of Environmental Survei...",92304.0
"New York, NY",New York City DEPT OF HEALTH/MENTAL HYGIENE,Senior Research Analyst – Access and Success,75000.0
"New York, NY",Publicis Healthcare Communications Group,Postdoctoral Research Scientist in Translational Bioinformat,48000.0
"Queens, NY",Albert Einstein College of Medicine,"Influenza Surveillance Coordinator, Bureau of Communicable D...",98388.0
"Queens, NY",Bausch Health,"Surveillance Analyst, Bureau of Communicable Diseases",65385.5
"Manhattan, NY",University of Rochester,"Policy Advisor, Building Energy Efficiency Programs",64854.0
"Queens, NY",EXL,"Research Analyst, Bureau of Epidemiology Services",82653.0
"Manhattan, NY",Wachsman,"Deputy Chief, Shoreline Survey Unit",74406.5
"Queens, NY",ThoughtWorks,"Surveillance Analyst, Family and Child Health Administration",79249.5
"Manhattan, NY",ProEd Communications,"Environmental Analyst, Bureau of Environmental Surveillance...",65385.5
"New York, NY",Butterfly Network,Research Associate,87000.0
"New York, NY",Zbest Payment Solutions,Senior Research Analyst – Access and Success,75000.0
"Manhattan, NY",JUUL Labs,"Chief of Mycobacteriology, Bureau of the Public Health Labor...",110511.5
"Queens, NY",Roche,"Director of Data Analysis, Bureau of Early Intervention",92304.0
"Wilmington, DE",Temple University,Data Scientist - Risk Manager - BFS,100500.0
"West Point, PA",Johnson & Johnson Family of Companies,Data Quality Review Scientist,76500.0
"Voorhees, NJ 08043",University of Pennsylvania,Business Development Specialist (Market Research Analyst),60000.0
"Radnor, PA",Navmar Applied Sciences Corporation,Actuarial Informatics Analyst III DVACO,114500.0
"Newtown, PA","Magritek, Inc.",Research Scientist,105000.0
"Philadelphia, PA",The Virtual Forge,Legal Research Analyst,50000.0
"Philadelphia, PA",Zacks Investment Management,Legal Research Analyst,50000.0
"Wilmington, DE","Magritek, Inc.",Research Associate,60000.0
"Malvern, PA 19355",Adaptimmune,Biological Research Technician,47500.0
"Wilmington, DE","ARCCA, Inc.",Research Associate,60000.0
"Philadelphia, PA",SpanPros LLC,Software Engineering Manager,75000.0
"Wayne, PA 19087",Sidecar,Senior SEO Manager,70000.0
"Wayne, PA 19087",Proscia,Senior SEO Manager,70000.0
"Wayne, PA 19087",PRA Health Sciences,Senior SEO Manager,70000.0
"Philadelphia, PA 19107 (City Center East area)",Achillion,Automated Test Engineer,107000.0
"Philadelphia, PA 19104 (Belmont area)",PRA Health Sciences,Lab-Sarma - Post-Doctoral Fellow,47000.0
"Media, PA",Adaptimmune,Full Stack JavaScript Developer,115500.0
